type,address,postcode,suburb,lat,lon,internal_postcode
Woolworths,Burrell Pl,Griffith North,2680,-34.28541,146.04414,4165
Woolworths,87 Baylis St,Wagga Wagga,2650,-35.11521,147.37125,4038
Woolworths,30 Gurwood St,Wagga Wagga,2650,-35.10637,147.36872,4038
Woolworths,Kooringal Mall Shop 41- 51 Lake Albert Rd,Kooringal,2650,-35.12409,147.37821,4020
Woolworths,Cnr Palm And Wamoon Ave,Leeton,2705,-34.55144,146.39202,4191
Woolworths,Cnr Herlihy & Fitzroy St,Tumut,2720,-35.30017,148.22465,4278
Woolworths,246-250 Sheridan St,Gundagai,2722,-35.06374,148.10158,4291
Woolworths,88 Mortimer St,Mudgee,2850,-32.59248,149.58717,5021
Woolworths,197-203 Anson St,Orange,2800,-33.28433,149.0981,4740
Woolworths,"Orana Mall MarketPl, Cnr Mitchell Hwy And Wheelers Lane",Dubbo,2830,-32.25385,148.6299,4864
Woolworths,Macquarie St,Dubbo,2830,-32.26167,148.60169,4864
Woolworths,William St,Bathurst,2795,-33.42033,149.57734,4616
Woolworths,224 Mort St,Lithgow,2790,-33.48095,150.16191,4575
Woolworths,"Cnr Minore And Baird Dr, Delroy Park",West Dubbo,2830,-32.2545283692252,148.577614506783,4872
Woolworths,210 Howick St,Bathurst,2795,-33.41896,149.58163,4616
Woolworths,"Telopea Way, Warratah Park,",North Orange,2800,-33.25196,149.10187,4727
Woolworths,81 Arthur St,Wellington,2820,-32.55524,148.94414,4797
Woolworths,Boorowa St,Young,2594,-34.31214,148.29205,3606
Woolworths,299 Clarinda St,Parkes,2870,-33.13439,148.17467,5095
Woolworths,Cnr Parker & Bourke St,Cootamundra,2590,-34.63707,148.02569,3591
Woolworths,104-110 Hoskins St,Temora,2666,-34.44353,147.53186,4125
Woolworths,3-9 Railway Lane,Cowra,2794,-33.83635,148.69225,4605
Woolworths,134 Rankin St,Forbes,2871,-33.38574,148.00578,5100
Woolworths,Cnr Comur & Polding St,Yass,2582,-34.84361,148.91749,3555
Woolworths,569-589 High St,Penrith,2750,-33.75119,150.69221,4384
Woolworths,"Lennox Shop. Ctr, Cnr Great Western Hwy And Lawson St",Emu Plains,2750,-33.75307,150.66333,4381
Woolworths,Cnr Lennox & Paget St,Richmond,2753,-33.60188,150.75338,4396
Woolworths,Southlands Shop. Ctr 2 Birmingham Rd,South Penrith,2750,-33.77407,150.69641,4387
Woolworths,Cnr Town Tce And Glenmore Parkway,Glenmore Park,2745,-33.78951,150.66925,4360
Woolworths,"Windsor Town Shop. Ctr, Kable St",Windsor,2756,-33.60574,150.82129,4427
Woolworths,80 - 98 Borrowdale Way,Cranebrook,2749,-33.71999,150.71001,4379
Woolworths,152-160 Leura Mall,Leura,2780,-33.71342,150.33165,4525
Woolworths,"Cnr Parke & Waratah St,",Katoomba,2780,-33.717,150.3093,4523
Woolworths, Cnr Lakeside Pde & Jordan Springs Bvd,Jordan Springs,2747,-33.72796,150.72583,4370
Woolworths,"Quakers Ct, Cnr Falmouth And Quaker Rds",Marayong,2148,-33.744,150.89166,711
Woolworths,"St Clair Shop. Ctr, Cnr Bennett Rd And Endeavour St",St Clair,2759,-33.79695,150.79101,4443
Woolworths,"Westfields, 49 Luxford Rd",Mt Druitt,2770,-33.76478,150.82148,4486
Woolworths,"The Hills Centre, Cnr Federal Rd And Prospect Hwy",Seven Hills,2147,-33.77676,150.93315,704
Woolworths,"Plumpton Market Pl, Cnr Jersey And Hyatts Rds",Plumpton,2761,-33.74408,150.83483,4456
Woolworths,"Westpoint Shop. Ctr, Cnr Alpha And Patrick Sts",Blacktown,2148,-33.7703198138339,150.905822621609,707
Woolworths,Cnr Flushcombe Rd And Myrtle St,Prospect,2148,-33.79774,150.90413,712
Woolworths,Cnr James Cook Dr And Ravenhill St,Kings Langley,2147,-33.74393,150.92654,702
Woolworths,Shop M1 799 Richmond Rd,Colebee,2761,-33.72393,150.84921,4451
Woolworths,"Emerton Village Shop. Ctr, Cnr Jersey Rd And Bunting St",Emerton,2770,-33.74292,150.80827,4480
Woolworths,"St Marys Village Shop. Ctr, Shop 302, Charles Hackett Dr",St Marys,2760,-33.76596,150.77177,4448
Woolworths,Cnr Railway Pde And Hughes St,Cabramatta,2166,-33.8938,150.93876,761
Woolworths,"Neeta City Shop. Ctr, Cnr Nelson & Smart St",Fairfield,2165,-33.86856,150.95555,757
Woolworths,Cnr Great Western Hwy And Lane St,Wentworthville,2145,-33.81578,150.97084,697
Woolworths,Bonnyrigg Ave,Bonnyrigg,2177,-33.88619,150.8874,809
Woolworths,186 The Bvd,Fairfield Heights,2165,-33.86423,150.93892,759
Woolworths,Cnr Sandringham Dr And Fedore Rd,Cecil Hills,2171,-33.88529,150.85255,788
Woolworths,Cnr Old Prospect Rd  & Greystanes Rd,Pemulwuy,2145,-33.81901,150.94817,694
Woolworths,Cnr Restwell Rd and Polding St,Wetherill Park,2164,-33.85647,150.89761,754
Woolworths,Cnr Junia Ave And Cornelia Rd,Toongabbie,2146,-33.78775,150.94857,700
Woolworths,Wilson Rd,Hinchinbrook,2168,-33.91824,150.86356,772
Woolworths,655 Merrylands Rd,Greystanes,2145,-33.82941,150.95356,692
Woolworths,"Rouse Hill Town Centre, Cnr White Hart Dr And Caddies Bvd",Rouse Hill,2155,-33.69,150.92838,726
Woolworths,Cnr Old Northern And Olive Sts,Baulkham Hills,2153,-33.7596,150.99289,719
Woolworths,936-938 Old Northern Rd,Glenorie,2157,-33.60157,151.00693,732
Woolworths,Cnr Riverbank Dr & The Ponds Bvd,The Ponds,2769,-33.70577,150.91261,4476
Woolworths,"Round Crn, 494-500 Old Northern Rd",Round Corner,2158,-33.69398,151.01853,736
Woolworths,88 Wrights Rd,Kellyville,2155,-33.71364,150.97117,724
Woolworths,Glenwood Park Dr,Glenwood,2768,-33.73362,150.9379,4473
Woolworths,1 Circa Bvde,Bella Vista,2153,-33.74628,150.95222,720
Woolworths,Cnr Withers & Hezlett Rds,Kellyville North,2155,-33.68524,150.95252,726
Woolworths,"Winston Hills Mall, Caroline Chisholm Dr",Winston Hills,2153,-33.77579,150.97563,721
Woolworths,Railway Tce and Pelican Rds,Schofields,2762,-33.69997,150.87201,4457
Woolworths,"Chester Sq Shop. Ctr, 1-13 Leicester St",Chester Hill,2162,-33.88229,151.00105,747
Woolworths,355 Waterloo Rd,Chullora,2190,-33.89289,151.05973,816
Woolworths,Westfield Shop. Ctr Campbell St,Parramatta,2150,-33.81832,151.00032,714
Woolworths,28-30 Oak St,Rosehill,2150,-33.81994,151.01914,9354
Woolworths,753 Hume Hwy,Bass Hill,2197,-33.89987,150.99315,830
Woolworths,15-16 Woodburn Rd,Berala,2141,-33.86892,151.03506,674
Woolworths,209 Pitt St,Merrylands,2160,-33.8355,150.99132,741
Woolworths,1 Ave Of Americas,Newington,2127,-33.83377,151.05603,647
Woolworths,Cnr Queen And Park St,Auburn,2144,-33.85281,151.03379,689
Woolworths,92 Parramatta Rd,Lidcombe,2144,-33.84934,151.04875,676
Woolworths,Cnr Louis &  Blaxcell St,Granville,2142,-33.85456,151.00785,681
Woolworths,1-9 the Bvd,Punchbowl,2196,-24.95128,150.0746,828
